Team 1,Team 2,Date,Outcome,1-ORtg,1-DRtg,1-3PAr,1-TS%,1-TRB%,1-AST%,1-STL%,1-BLK%,1-eFG%,1-TOV%,1-ORB%,1-FTr,1-oeFG%,1-oTOV%,1-oDRB%,1-oFTr,1-Pace,1-o3PAr,2-ORtg,2-DRtg,2-3PAr,2-TS%,2-TRB%,2-AST%,2-STL%,2-BLK%,2-eFG%,2-TOV%,2-ORB%,2-FTr,2-oeFG%,2-oTOV%,2-oDRB%,2-oFTr,2-Pace,2-o3PAr
Bradley,Michigan State,2019-03-21,0,100.28126591810069,96.79893078591616,0.3468715697036224,0.5307950202799334,0.5117813383600377,0.520253164556962,0.0801910562871102,0.1168478260869565,0.4969813391877058,0.1798330122029544,0.2660984848484848,0.3589462129527991,0.4768770402611534,0.177910212309108,0.7339015151515151,0.3471164309031556,4539.700000000001,0.3993471164309031,113.46316680779,92.50762938819572,0.3780864197530864,0.5910895456550507,0.5724381625441696,0.6822033898305084,0.0739064543586123,0.1408024224072672,0.5581275720164609,0.178662150719729,0.3266733266733266,0.3497942386831276,0.4368446139180171,0.1752164255018787,0.6733266733266733,0.2774070543374642,4770.450000000001,0.3703527168732126
Buffalo,Texas Tech,2019-03-24,0,111.440175186425,92.87553980518598,0.4336917562724014,0.5610981047396081,0.529050736497545,0.5546950629235237,0.0964387381630162,0.1052631578947368,0.5356182795698925,0.1531916535630565,0.3078797725426482,0.3221326164874551,0.4733527131782946,0.1537597552237649,0.6921202274573518,0.311046511627907,5173.475,0.3648255813953488,107.459943720209,85.73914419046112,0.3554929577464789,0.5683737318510419,0.5240286298568507,0.5364396654719236,0.1066654614072157,0.153170731707317,0.5369014084507042,0.1722850743697237,0.2791712104689204,0.3352112676056338,0.4281930547380812,0.1694896102868894,0.7208287895310797,0.3761035903472631,4389.150000000001,0.3967039434961742
Cincinnati,Iowa,2019-03-22,0,107.3819591261452,94.41332053657123,0.3307731694828469,0.5285293097467915,0.5439613526570048,0.5414691943127962,0.0937437225185813,0.1473988439306358,0.4900153609831029,0.1471106412966878,0.3578336557059961,0.3809523809523809,0.4810022026431718,0.1490971586724103,0.6421663442940039,0.3050660792951541,4510.549999999999,0.4284140969162995,109.14581991362108,103.92276357571288,0.3901795142555438,0.5680431747985799,0.5086569957884886,0.6020881670533643,0.0872438015203515,0.093103448275862,0.5256071805702217,0.164310077191945,0.2846153846153846,0.4229144667370644,0.5156644770085902,0.166361954859886,0.7153846153846154,0.2875189489641233,4705.75,0.4138453764527539
Colgate,Tennessee,2019-03-22,0,109.5820537071082,99.82077538229343,0.4053635894791129,0.5849585332924907,0.5359382537385432,0.5709677419354838,0.0880401630839211,0.1024765157984628,0.5582774626095925,0.1827784448954868,0.2861507128309572,0.2872614749871067,0.5017775520568817,0.1802727148861242,0.7138492871690427,0.2889791772473337,4737.85,0.4052818689690198,114.4939171246835,95.58130963593923,0.3158410985777342,0.58845934107789,0.5310251798561151,0.6104536489151874,0.0831319873868708,0.152191894127378,0.5544384502206964,0.1543876983881924,0.3035363457760314,0.3344776851397744,0.466600692726373,0.153568942217126,0.6964636542239686,0.3384463137060861,4870.849999999999,0.4017812963879267
Duke,North Dakota State,2019-03-22,1,110.95369764238048,89.8151497082083,0.3764381040036815,0.5611281858700057,0.5477366255144033,0.5216972034715526,0.1259054340707142,0.1634954193093728,0.534054302807179,0.1715698248150934,0.3516295025728988,0.3456051541647492,0.4461077844311377,0.1716536818541725,0.6483704974271012,0.2399815753109166,5116.2,0.3463841547673883,108.45718137441426,105.76177762466624,0.471627408993576,0.5793196362411586,0.4921951219512195,0.4630715123094959,0.0684695547325811,0.0666144200626959,0.5433618843683083,0.1491612398212674,0.1952191235059761,0.3206638115631691,0.5235085945399394,0.1477047627250021,0.8047808764940239,0.2588473205257836,4621.725,0.3549039433771486
Duke,UCF,2019-03-24,1,110.95369764238048,89.8151497082083,0.3764381040036815,0.5611281858700057,0.5477366255144033,0.5216972034715526,0.1259054340707142,0.1634954193093728,0.534054302807179,0.1715698248150934,0.3516295025728988,0.3456051541647492,0.4461077844311377,0.1716536818541725,0.6483704974271012,0.2399815753109166,5116.2,0.3463841547673883,105.50529059960128,92.671812517437,0.360774818401937,0.5544741051169826,0.5235142118863049,0.5372549019607843,0.0827675997396075,0.1244404655326768,0.5269370460048426,0.165618770127281,0.2789651293588301,0.4642857142857143,0.4549723756906077,0.1632102669022598,0.7210348706411699,0.2961325966850828,4269.925,0.3828729281767956
Duke,Virginia Tech,2019-03-29,1,110.95369764238048,89.8151497082083,0.3764381040036815,0.5611281858700057,0.5477366255144033,0.5216972034715526,0.1259054340707142,0.1634954193093728,0.534054302807179,0.1715698248150934,0.3516295025728988,0.3456051541647492,0.4461077844311377,0.1716536818541725,0.6483704974271012,0.2399815753109166,5116.2,0.3463841547673883,112.66131430270592,94.56163519767756,0.4495095210617426,0.5944148101663006,0.5180327868852459,0.595873786407767,0.1013670271620801,0.0872641509433962,0.5640507789959608,0.1669937555753791,0.2757437070938215,0.3144835545297172,0.488830099941211,0.1670414391262447,0.7242562929061785,0.2639623750734862,4203.15,0.5014697236919459
Duke,Michigan State,2019-03-31,0,110.95369764238048,89.8151497082083,0.3764381040036815,0.5611281858700057,0.5477366255144033,0.5216972034715526,0.1259054340707142,0.1634954193093728,0.534054302807179,0.1715698248150934,0.3516295025728988,0.3456051541647492,0.4461077844311377,0.1716536818541725,0.6483704974271012,0.2399815753109166,5116.2,0.3463841547673883,113.46316680779,92.50762938819572,0.3780864197530864,0.5910895456550507,0.5724381625441696,0.6822033898305084,0.0739064543586123,0.1408024224072672,0.5581275720164609,0.178662150719729,0.3266733266733266,0.3497942386831276,0.4368446139180171,0.1752164255018787,0.6733266733266733,0.2774070543374642,4770.450000000001,0.3703527168732126
FDU,Gonzaga,2019-03-21,0,107.68473628548392,100.61329355212996,0.3446267866596083,0.581273103401499,0.4950980392156863,0.5275938189845475,0.1052544339466269,0.1058726220016542,0.5492323980942297,0.1847101077475628,0.2729145211122554,0.3594494441503441,0.5098634294385432,0.1827449030333167,0.7270854788877446,0.2994436014162873,4800.725,0.3884673748103187,122.52146841896324,89.35501659539491,0.3525287931897847,0.6270182416971407,0.5577372604020571,0.5659133709981168,0.1036301776071417,0.1365007541478129,0.5961442163244868,0.1408244708635423,0.2971548998946259,0.3595393089634451,0.4420611439842209,0.1402544974040432,0.702845100105374,0.2509861932938856,4795.825,0.3461538461538461
Florida,Nevada,2019-03-21,1,103.0627990364228,95.40079133281166,0.4341898269533298,0.5318454188196744,0.4985521235521235,0.5110565110565111,0.1075683599131517,0.1126005361930295,0.4994756161510225,0.1678489359576381,0.2950191570881226,0.3036182485579444,0.4836474501108647,0.1666427870785712,0.7049808429118773,0.3364745011086474,4520.349999999999,0.3797117516629711,111.3935703898984,92.3525769517353,0.4274691358024691,0.5737749086637425,0.5254470426409904,0.5458563535911602,0.0856360259007,0.1113989637305699,0.5406378600823045,0.139346577535072,0.2483474976392823,0.4068930041152263,0.4764370792335577,0.139788218749672,0.7516525023607177,0.2760227861211807,4771.9,0.4003107198342827
