Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
38,Air Force,10,2021-01-08,@,Boise State,L,69.0,80.0,24.0,45.0,0.533,9.0,20.0,0.45,12.0,13.0,0.923,2.0,19.0,11.0,2.0,2.0,12.0,18.0,31.0,59.0,0.525,7.0,17.0,0.412,11.0,17.0,0.647,11.0,29.0,13.0,6.0,3.0,6.0,18.0
39,Air Force,11,2021-01-16,,Wyoming,W,72.0,69.0,28.0,53.0,0.528,8.0,20.0,0.4,8.0,13.0,0.615,4.0,22.0,15.0,11.0,3.0,7.0,10.0,27.0,51.0,0.529,10.0,27.0,0.37,5.0,12.0,0.417,8.0,32.0,13.0,2.0,2.0,15.0,14.0
40,Air Force,12,2021-01-18,,Wyoming,L,58.0,77.0,23.0,46.0,0.5,1.0,12.0,0.083,11.0,19.0,0.579,5.0,26.0,13.0,5.0,3.0,11.0,16.0,25.0,51.0,0.49,16.0,32.0,0.5,11.0,16.0,0.688,6.0,30.0,15.0,4.0,1.0,11.0,22.0
41,Air Force,13,2021-01-22,,San Diego State,L,61.0,98.0,22.0,40.0,0.55,9.0,21.0,0.429,8.0,13.0,0.615,2.0,15.0,13.0,9.0,1.0,23.0,19.0,36.0,66.0,0.545,13.0,29.0,0.448,13.0,24.0,0.542,17.0,34.0,27.0,15.0,1.0,16.0,18.0
42,Air Force,14,2021-01-24,,San Diego State,L,59.0,91.0,21.0,45.0,0.467,8.0,21.0,0.381,9.0,16.0,0.563,2.0,17.0,16.0,6.0,2.0,11.0,20.0,31.0,60.0,0.517,16.0,30.0,0.533,13.0,18.0,0.722,14.0,40.0,21.0,4.0,3.0,12.0,18.0
43,Air Force,15,2021-01-28,@,San Jose State,L,58.0,59.0,22.0,54.0,0.407,8.0,29.0,0.276,6.0,10.0,0.6,7.0,26.0,7.0,9.0,4.0,11.0,12.0,24.0,48.0,0.5,6.0,20.0,0.3,5.0,10.0,0.5,7.0,31.0,6.0,7.0,0.0,14.0,12.0
44,Air Force,16,2021-01-30,@,San Jose State,L,62.0,75.0,25.0,61.0,0.41,11.0,37.0,0.297,1.0,4.0,0.25,4.0,26.0,17.0,3.0,3.0,6.0,16.0,27.0,52.0,0.519,9.0,24.0,0.375,12.0,18.0,0.667,5.0,35.0,19.0,3.0,1.0,11.0,11.0
45,Air Force,17,2021-02-06,@,Nevada-Las Vegas,L,58.0,68.0,20.0,46.0,0.435,15.0,32.0,0.469,3.0,7.0,0.429,4.0,19.0,15.0,3.0,1.0,12.0,16.0,27.0,49.0,0.551,2.0,14.0,0.143,12.0,15.0,0.8,8.0,29.0,14.0,7.0,1.0,9.0,13.0
46,Air Force,18,2021-02-08,@,Nevada-Las Vegas,L,64.0,69.0,24.0,48.0,0.5,9.0,21.0,0.429,7.0,9.0,0.778,2.0,17.0,16.0,5.0,3.0,8.0,18.0,25.0,45.0,0.556,9.0,16.0,0.563,10.0,15.0,0.667,6.0,26.0,13.0,2.0,5.0,12.0,16.0
47,Air Force,19,2021-02-11,,Fresno State,L,63.0,69.0,16.0,40.0,0.4,11.0,26.0,0.423,20.0,23.0,0.87,3.0,13.0,13.0,11.0,3.0,14.0,22.0,21.0,35.0,0.6,6.0,12.0,0.5,21.0,27.0,0.778,6.0,26.0,9.0,5.0,1.0,20.0,20.0
48,Air Force,20,2021-02-13,,Fresno State,L,64.0,67.0,22.0,46.0,0.478,6.0,18.0,0.333,14.0,19.0,0.737,5.0,24.0,8.0,7.0,4.0,11.0,21.0,23.0,50.0,0.46,2.0,9.0,0.222,19.0,28.0,0.679,13.0,34.0,7.0,6.0,0.0,10.0,19.0
