,Offensive Rating,Defensive Rating
UC Davis,92.63871,96.53564
UC Irvine,95.25718,96.82545
UC Riverside,88.995895,98.07992
UC Santa Barbara,90.218834,102.383995
UCF,100.964836,82.860245
UCLA,120.76386,93.300156
UNC Asheville,101.90811,100.63384
UNC Greensboro,106.26349,102.22614
UNC Wilmington,112.101845,102.688416
UT Arlington,101.99815,94.51294
UTEP,94.34774,104.75652
UTSA,85.75618,88.28957
Utah,109.550995,93.85433
Utah State,99.660095,95.88029
Utah Valley,96.12908,98.6085
VMI,90.116295,113.70003
Valparaiso,99.97168,94.46023
Vanderbilt,105.79893,90.90069
Vermont,106.912346,95.85045
Villanova,116.92446,86.93196
Virginia,109.53178,84.83944
Virginia Commonwealth,104.25185,93.440254
Virginia Tech,112.867455,91.39519
Wagner,94.69073,107.42402
Wake Forest,118.27855,95.8021
Washington,103.95364,100.94542
Washington State,101.55621,102.903275
Weber State,104.44784,109.756226
West Virginia,110.5402,82.381325
Western Carolina,76.2463,102.97533
Western Illinois,89.284836,103.057304
Western Kentucky,95.1918,102.061325
Western Michigan,92.69135,103.86871
Wichita State,108.55148,81.08393
William & Mary,99.019745,107.182335
Winthrop,99.59288,98.06007
Wisconsin,116.72558,85.700645
Wofford,99.03547,102.52252
Wright State,96.75698,102.53449
Wyoming,98.44175,95.12196
Xavier,111.50244,94.11026
Yale,97.13762,99.317406
Youngstown State,96.68804,111.63652
