Team,Gtm,Date,Site,Opponent,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
IU Indy,23,2017-01-28,@,Western Illinois,REG (Conf),L,69,78,,24,58,.414,10,27,.370,14,31,.452,.500,11,15,.733,7,21,28,12,7,5,9,19,28,54,.519,6,17,.353,22,37,.595,.574,16,22,.727,5,22,27,14,4,5,10,14
IU Indy,24,2017-02-01,,North Dakota State,REG (Conf),W,86,81,OT,33,67,.493,14,24,.583,19,43,.442,.597,6,7,.857,10,23,33,21,5,5,13,15,29,65,.446,9,22,.409,20,43,.465,.515,14,18,.778,10,20,30,10,6,5,10,13
IU Indy,25,2017-02-08,@,Omaha,REG (Conf),W,89,78,,29,58,.500,13,27,.481,16,31,.516,.612,18,21,.857,10,20,30,15,12,1,13,25,22,46,.478,6,17,.353,16,29,.552,.543,28,35,.800,6,18,24,10,6,1,18,18
IU Indy,26,2017-02-11,,Oral Roberts,REG (Conf),L,68,74,,25,57,.439,9,24,.375,16,33,.485,.518,9,14,.643,8,16,24,12,7,2,8,16,25,48,.521,8,15,.533,17,33,.515,.604,16,17,.941,5,26,31,12,4,2,13,18
IU Indy,27,2017-02-15,@,South Dakota State,REG (Conf),L,67,81,,25,68,.368,9,32,.281,16,36,.444,.434,8,14,.571,11,23,34,10,6,0,8,27,25,49,.510,6,19,.316,19,30,.633,.571,25,32,.781,5,34,39,13,3,5,14,22
IU Indy,28,2017-02-19,@,Denver,REG (Conf),W,83,72,,26,51,.510,10,19,.526,16,32,.500,.608,21,26,.808,6,21,27,13,9,2,10,19,26,53,.491,5,15,.333,21,38,.553,.538,15,22,.682,8,20,28,12,4,1,12,20
IU Indy,29,2017-02-23,,IPFW,REG (Conf),W,83,82,,27,54,.500,8,22,.364,19,32,.594,.574,21,30,.700,5,16,21,11,14,1,10,21,29,50,.580,10,22,.455,19,28,.679,.680,14,19,.737,5,22,27,18,6,1,23,25
IU Indy,30,2017-02-25,,South Dakota,REG (Conf),L,85,92,,31,67,.463,7,19,.368,24,48,.500,.515,16,25,.640,7,24,31,17,4,6,10,26,26,56,.464,5,16,.313,21,40,.525,.509,35,43,.814,7,32,39,14,6,3,11,24
IU Indy,31,2017-03-04,N,North Dakota State,CTOURN,W,76,57,,29,58,.500,9,25,.360,20,33,.606,.578,9,14,.643,8,27,35,13,7,3,8,15,19,51,.373,7,19,.368,12,32,.375,.441,12,17,.706,7,21,28,11,5,4,12,14
IU Indy,32,2017-03-06,N,Omaha,CTOURN,L,62,90,,19,60,.317,6,26,.231,13,34,.382,.367,18,31,.581,7,25,32,4,9,1,16,24,32,63,.508,6,25,.240,26,38,.684,.556,20,28,.714,9,39,48,11,10,3,15,23
Jackson State,1,2016-11-11,,Xavier (LA),REG (Non-Conf),W,66,54,,24,70,.343,5,23,.217,19,47,.404,.379,13,22,.591,14,25,39,13,11,3,7,23,13,40,.325,5,15,.333,8,25,.320,.388,23,27,.852,5,28,33,5,1,4,25,20
Jackson State,2,2016-11-16,@,Southeastern Louisiana,REG (Non-Conf),L,71,84,,26,64,.406,8,23,.348,18,41,.439,.469,11,13,.846,12,14,26,12,10,1,15,25,29,50,.580,8,15,.533,21,35,.600,.660,18,24,.750,8,24,32,18,5,2,18,16
Jackson State,3,2016-11-18,@,North Carolina Central,REG (Non-Conf),L,75,84,,30,61,.492,8,20,.400,22,41,.537,.557,7,20,.350,12,20,32,13,2,2,11,25,28,47,.596,10,18,.556,18,29,.621,.702,18,27,.667,4,25,29,23,3,3,11,18
Jackson State,4,2016-11-21,@,Marshall,REG (Non-Conf),L,61,71,,21,62,.339,6,21,.286,15,41,.366,.387,13,19,.684,15,17,32,8,10,5,13,20,24,50,.480,4,14,.286,20,36,.556,.520,19,26,.731,8,26,34,13,7,4,16,15
Jackson State,5,2016-11-23,@,Ohio State,REG (Non-Conf),L,47,78,,18,61,.295,7,23,.304,11,38,.289,.352,4,6,.667,13,22,35,9,4,1,17,21,26,47,.553,13,27,.481,13,20,.650,.691,13,20,.650,4,24,28,20,8,4,16,11
Jackson State,6,2016-11-26,,Western Carolina,REG (Non-Conf),L,47,58,,14,50,.280,2,16,.125,12,34,.353,.300,17,26,.654,14,15,29,11,7,3,13,19,20,42,.476,7,17,.412,13,25,.520,.560,11,18,.611,4,24,28,16,5,3,16,24
Jackson State,7,2016-11-30,@,Memphis,REG (Non-Conf),L,69,84,,26,74,.351,7,30,.233,19,44,.432,.399,10,17,.588,20,18,38,14,6,4,9,23,27,54,.500,4,18,.222,23,36,.639,.537,26,35,.743,10,29,39,21,3,7,10,13
Jackson State,8,2016-12-04,,Southern Mississippi,REG (Non-Conf),W,75,64,,26,58,.448,6,17,.353,20,41,.488,.500,17,26,.654,8,17,25,16,14,0,9,21,21,40,.525,6,15,.400,15,25,.600,.600,16,27,.593,4,19,23,12,4,3,17,22
Jackson State,9,2016-12-10,@,Drake,REG (Non-Conf),W,68,63,,24,70,.343,9,30,.300,15,40,.375,.407,11,19,.579,16,37,53,12,10,4,12,23,17,64,.266,5,19,.263,12,45,.267,.305,24,30,.800,13,32,45,6,6,2,13,16
Jackson State,10,2016-12-15,,Blue Mountain,REG (Non-Conf),L,49,57,,18,59,.305,4,31,.129,14,28,.500,.339,9,15,.600,18,21,39,12,3,3,15,17,18,42,.429,4,15,.267,14,27,.519,.476,17,21,.810,2,24,26,9,7,2,15,20
Jackson State,11,2016-12-17,N,Baylor,REG (Non-Conf),L,57,82,,17,61,.279,8,26,.308,9,35,.257,.344,15,17,.882,12,13,25,6,5,1,8,27,24,49,.490,8,24,.333,16,25,.640,.571,26,34,.765,12,29,41,18,3,6,15,19
Jackson State,12,2016-12-19,@,Duquesne,REG (Non-Conf),L,62,74,,22,62,.355,8,25,.320,14,37,.378,.419,10,16,.625,9,23,32,13,4,4,12,29,23,55,.418,6,21,.286,17,34,.500,.473,22,31,.710,10,31,41,15,3,2,12,18
Jackson State,13,2016-12-30,,Fisk,REG (Non-Conf),W,94,62,,32,62,.516,15,28,.536,17,34,.500,.637,15,20,.750,10,24,34,23,11,2,12,17,19,45,.422,8,19,.421,11,26,.423,.511,16,20,.800,4,19,23,12,8,4,20,21
Jackson State,14,2017-01-02,@,Alabama A&M,REG (Conf),W,63,51,,21,53,.396,6,21,.286,15,32,.469,.453,15,24,.625,9,28,37,5,3,4,4,21,14,45,.311,4,18,.222,10,27,.370,.356,19,27,.704,3,22,25,3,2,3,7,17
Jackson State,15,2017-01-04,@,Alabama State,REG (Conf),W,63,60,,22,53,.415,7,15,.467,15,38,.395,.481,12,17,.706,7,22,29,8,6,3,10,22,19,50,.380,7,26,.269,12,24,.500,.450,15,25,.600,8,24,32,10,2,4,11,16
Jackson State,16,2017-01-09,,Southern,REG (Conf),W,65,61,,21,49,.429,4,13,.308,17,36,.472,.469,19,26,.731,9,23,32,7,2,1,12,21,18,54,.333,2,17,.118,16,37,.432,.352,23,31,.742,13,22,35,6,6,2,10,23
Jackson State,17,2017-01-11,,Alcorn State,REG (Conf),L,50,63,,17,55,.309,5,27,.185,12,28,.429,.355,11,16,.688,10,24,34,9,3,1,10,15,22,50,.440,7,20,.350,15,30,.500,.510,12,19,.632,7,23,30,11,3,1,12,15
Jackson State,18,2017-01-14,@,Prairie View A&M,REG (Conf),L,56,63,,21,53,.396,5,23,.217,16,30,.533,.443,9,13,.692,12,19,31,8,4,2,15,21,22,45,.489,8,20,.400,14,25,.560,.578,11,18,.611,6,17,23,15,8,6,15,16
Jackson State,19,2017-01-16,@,Texas Southern,REG (Conf),L,44,67,,15,61,.246,4,21,.190,11,40,.275,.279,10,13,.769,10,22,32,9,5,5,8,18,22,57,.386,5,20,.250,17,37,.459,.430,18,22,.818,8,27,35,14,5,3,7,12
Jackson State,20,2017-01-21,@,Grambling State,REG (Conf),L,57,72,,24,47,.511,7,20,.350,17,27,.630,.585,2,3,.667,8,22,30,15,2,1,15,19,24,47,.511,9,19,.474,15,28,.536,.606,15,24,.625,4,11,15,14,8,1,7,10
Jackson State,21,2017-01-28,,Mississippi Valley State,REG (Conf),W,83,68,,32,61,.525,14,30,.467,18,31,.581,.639,5,10,.500,6,19,25,19,7,5,8,16,28,54,.519,4,12,.333,24,42,.571,.556,8,18,.444,10,23,33,9,1,2,13,10
Jackson State,22,2017-01-30,,Arkansas–Pine Bluff,REG (Conf),W,74,59,,22,43,.512,8,21,.381,14,22,.636,.605,22,31,.710,7,25,32,15,11,1,13,17,19,51,.373,6,19,.316,13,32,.406,.431,15,20,.750,5,10,15,5,4,0,16,23
Jackson State,23,2017-02-04,@,Alcorn State,REG (Conf),L,58,69,,19,58,.328,7,25,.280,12,33,.364,.388,13,19,.684,15,23,38,10,7,4,14,19,21,52,.404,4,18,.222,17,34,.500,.442,23,29,.793,11,25,36,12,5,3,11,17
Jackson State,24,2017-02-06,@,Southern,REG (Conf),L,75,88,,28,69,.406,7,24,.292,21,45,.467,.457,12,20,.600,14,15,29,11,6,3,12,19,27,52,.519,6,14,.429,21,38,.553,.577,28,34,.824,7,27,34,15,4,10,11,16
Jackson State,25,2017-02-11,,Prairie View A&M,REG (Conf),W,78,69,,20,46,.435,9,20,.450,11,26,.423,.533,29,37,.784,8,24,32,12,5,5,17,16,25,53,.472,10,18,.556,15,35,.429,.566,9,16,.563,4,17,21,10,9,3,17,27
Jackson State,26,2017-02-13,,Texas Southern,REG (Conf),W,71,62,,22,50,.440,6,19,.316,16,31,.516,.500,21,26,.808,5,23,28,10,5,0,12,22,18,46,.391,2,18,.111,16,28,.571,.413,24,30,.800,5,21,26,10,4,1,14,22
Jackson State,27,2017-02-18,,Grambling State,REG (Conf),L,59,62,OT,21,58,.362,3,19,.158,18,39,.462,.388,14,18,.778,20,28,48,5,3,3,20,15,22,60,.367,4,17,.235,18,43,.419,.400,14,17,.824,9,17,26,7,9,2,9,21
Jackson State,28,2017-02-25,@,Mississippi Valley State,REG (Conf),L,67,70,OT,25,62,.403,6,32,.188,19,30,.633,.452,11,18,.611,12,26,38,9,6,2,13,20,26,61,.426,4,13,.308,22,48,.458,.459,14,18,.778,12,25,37,11,7,0,12,18
Jackson State,29,2017-02-27,@,Arkansas–Pine Bluff,REG (Conf),W,62,51,,19,40,.475,3,14,.214,16,26,.615,.513,21,37,.568,6,26,32,9,9,4,17,16,18,55,.327,5,18,.278,13,37,.351,.373,10,16,.625,10,21,31,9,13,1,13,27
Jackson State,30,2017-03-02,,Alabama A&M,REG (Conf),W,72,64,,28,64,.438,9,26,.346,19,38,.500,.508,7,11,.636,14,20,34,11,3,4,5,16,23,51,.451,5,12,.417,18,39,.462,.500,13,17,.765,7,20,27,7,1,2,10,13
Jackson State,31,2017-03-04,,Alabama State,REG (Conf),W,65,59,,19,56,.339,7,24,.292,12,32,.375,.402,20,30,.667,11,19,30,7,8,1,6,17,20,46,.435,5,17,.294,15,29,.517,.489,14,20,.700,5,24,29,7,1,3,17,21
Jackson State,32,2017-03-07,@,Southern,CTOURN,L,63,69,,22,68,.324,7,23,.304,15,45,.333,.375,12,14,.857,13,21,34,9,5,1,12,28,19,48,.396,3,12,.250,16,36,.444,.427,28,41,.683,11,30,41,12,6,4,14,17
Jacksonville,1,2016-11-12,@,Denver,REG (Non-Conf),W,92,84,,26,48,.542,10,22,.455,16,26,.615,.646,30,41,.732,7,24,31,11,11,0,15,27,27,57,.474,12,25,.480,15,32,.469,.579,18,28,.643,10,23,33,14,5,0,18,33
Jacksonville,2,2016-11-14,@,Air Force,REG (Non-Conf),L,68,86,,23,48,.479,7,22,.318,16,26,.615,.552,15,22,.682,3,18,21,10,6,2,13,27,26,53,.491,10,17,.588,16,36,.444,.585,24,30,.800,9,23,32,18,4,1,10,19
Jacksonville,3,2016-11-18,N,Youngstown State,REG (Non-Conf),W,79,54,,31,61,.508,8,20,.400,23,41,.561,.574,9,11,.818,9,25,34,14,5,2,15,18,19,55,.345,4,23,.174,15,32,.469,.382,12,18,.667,6,19,25,7,7,3,15,15
Jacksonville,4,2016-11-19,N,Florida International,REG (Non-Conf),W,78,75,OT,28,54,.519,7,16,.438,21,38,.553,.583,15,19,.789,3,19,22,9,6,2,10,14,30,61,.492,3,15,.200,27,46,.587,.516,12,14,.857,7,18,25,9,4,1,11,18
Jacksonville,5,2016-11-20,@,South Alabama,REG (Non-Conf),L,58,71,,21,56,.375,8,22,.364,13,34,.382,.446,8,11,.727,10,17,27,9,6,3,17,18,28,53,.528,7,18,.389,21,35,.600,.594,8,14,.571,9,24,33,18,8,6,16,17
Jacksonville,6,2016-11-23,,Trinity Baptist,REG (Non-Conf),W,97,52,,34,69,.493,16,37,.432,18,32,.563,.609,13,16,.813,13,34,47,22,11,3,10,12,20,59,.339,5,15,.333,15,44,.341,.381,7,12,.583,7,23,30,6,7,1,17,13
Jacksonville,7,2016-11-26,@,North Carolina A&T,REG (Non-Conf),W,66,49,,20,47,.426,9,22,.409,11,25,.440,.521,17,24,.708,8,19,27,14,8,1,8,16,17,40,.425,4,13,.308,13,27,.481,.475,11,19,.579,5,20,25,7,3,0,15,18
Jacksonville,8,2016-11-30,@,Milwaukee,REG (Non-Conf),L,67,72,,25,55,.455,9,27,.333,16,28,.571,.536,8,14,.571,8,22,30,16,5,2,14,21,23,51,.451,8,19,.421,15,32,.469,.529,18,27,.667,9,26,35,16,5,1,10,19
Jacksonville,9,2016-12-05,@,Bethune-Cookman,REG (Non-Conf),W,76,66,,25,52,.481,5,19,.263,20,33,.606,.529,21,25,.840,5,27,32,15,8,4,9,15,24,57,.421,9,26,.346,15,31,.484,.500,9,17,.529,5,20,25,15,3,5,12,19
Jacksonville,10,2016-12-07,,Eastern Kentucky,REG (Non-Conf),L,76,80,,26,52,.500,9,22,.409,17,30,.567,.587,15,24,.625,4,18,22,16,9,1,8,21,27,49,.551,5,13,.385,22,36,.611,.602,21,27,.778,5,24,29,7,7,3,12,21
Jacksonville,11,2016-12-10,@,Marist,REG (Non-Conf),W,85,64,,32,62,.516,11,24,.458,21,38,.553,.605,10,16,.625,12,22,34,17,8,4,10,21,23,55,.418,6,26,.231,17,29,.586,.473,12,17,.706,9,21,30,15,1,1,13,18
Jacksonville,12,2016-12-17,@,Florida A&M,REG (Non-Conf),W,75,72,,26,56,.464,11,24,.458,15,32,.469,.563,12,17,.706,6,21,27,8,13,1,11,18,26,53,.491,9,20,.450,17,33,.515,.575,11,19,.579,4,24,28,17,6,4,17,17
Jacksonville,13,2016-12-19,,Fla. Memorial,REG (Non-Conf),W,81,63,,27,54,.500,6,18,.333,21,36,.583,.556,21,26,.808,10,31,41,14,4,4,12,19,23,67,.343,10,30,.333,13,37,.351,.418,7,11,.636,10,20,30,10,5,3,8,24
Jacksonville,14,2016-12-21,@,Davidson,REG (Non-Conf),L,60,75,,21,58,.362,12,27,.444,9,31,.290,.466,6,9,.667,8,19,27,17,9,1,13,17,26,57,.456,11,27,.407,15,30,.500,.553,12,17,.706,9,28,37,18,8,5,11,15
Jacksonville,15,2016-12-28,,Thomas University,REG (Non-Conf),W,93,64,,31,56,.554,12,22,.545,19,34,.559,.661,19,27,.704,8,30,38,17,9,5,14,23,24,56,.429,4,17,.235,20,39,.513,.464,12,25,.480,5,21,26,7,3,2,18,24
Jacksonville,16,2016-12-31,,South Carolina State,REG (Non-Conf),W,89,85,,32,62,.516,9,22,.409,23,40,.575,.589,16,19,.842,8,15,23,18,7,0,8,16,29,55,.527,12,21,.571,17,34,.500,.636,15,22,.682,9,19,28,8,3,3,12,17
Jacksonville,17,2017-01-03,,Middle GA St,REG (Non-Conf),W,124,85,,46,77,.597,21,34,.618,25,43,.581,.734,11,12,.917,9,30,39,29,12,3,12,8,32,71,.451,13,29,.448,19,42,.452,.542,8,10,.800,9,18,27,13,6,3,16,14
Jacksonville,18,2017-01-07,,North Florida,REG (Conf),L,64,80,,19,53,.358,7,20,.350,12,33,.364,.425,19,21,.905,9,21,30,8,5,3,18,23,28,60,.467,9,27,.333,19,33,.576,.542,15,21,.714,7,20,27,13,12,5,11,17
Jacksonville,19,2017-01-12,@,NJIT,REG (Conf),W,82,81,,29,53,.547,8,16,.500,21,37,.568,.623,16,26,.615,6,24,30,11,8,3,13,16,29,67,.433,14,38,.368,15,29,.517,.537,9,13,.692,13,21,34,18,4,0,14,22
Jacksonville,20,2017-01-14,@,USC Upstate,REG (Conf),L,66,73,,24,55,.436,10,24,.417,14,31,.452,.527,8,11,.727,8,21,29,15,6,1,15,17,24,54,.444,10,28,.357,14,26,.538,.537,15,21,.714,9,23,32,15,6,5,13,11
Jacksonville,21,2017-01-19,,Lipscomb,REG (Conf),L,95,112,,29,62,.468,8,27,.296,21,35,.600,.532,29,34,.853,12,19,31,12,9,0,22,37,33,49,.673,8,20,.400,25,29,.862,.755,38,52,.731,4,23,27,19,12,5,22,28
Jacksonville,22,2017-01-21,,Kennesaw State,REG (Conf),L,71,81,,25,62,.403,6,21,.286,19,41,.463,.452,15,21,.714,11,13,24,8,15,1,13,18,29,55,.527,9,19,.474,20,36,.556,.609,14,18,.778,7,25,32,17,6,3,19,17
Jacksonville,23,2017-01-25,,Stetson,REG (Conf),W,103,92,,34,67,.507,18,32,.563,16,35,.457,.642,17,19,.895,9,23,32,19,6,1,12,24,30,58,.517,10,26,.385,20,32,.625,.603,22,31,.710,6,23,29,14,5,2,14,19
Jacksonville,24,2017-01-28,@,Florida Gulf Coast,REG (Conf),L,56,78,,18,55,.327,11,35,.314,7,20,.350,.427,9,17,.529,8,18,26,10,11,0,18,18,32,60,.533,2,17,.118,30,43,.698,.550,12,21,.571,14,33,47,15,7,4,18,18
Jacksonville,25,2017-01-30,@,Stetson,REG (Conf),W,89,86,,30,61,.492,11,26,.423,19,35,.543,.582,18,29,.621,10,23,33,12,9,1,11,16,32,63,.508,12,29,.414,20,34,.588,.603,10,12,.833,4,26,30,18,5,2,14,23
Jacksonville,26,2017-02-04,,Florida Gulf Coast,REG (Conf),L,57,67,,20,54,.370,8,24,.333,12,30,.400,.444,9,16,.563,11,16,27,8,6,2,15,18,22,50,.440,5,19,.263,17,31,.548,.490,18,21,.857,8,25,33,7,7,3,16,19
Jacksonville,27,2017-02-09,,USC Upstate,REG (Conf),L,67,70,,25,65,.385,13,36,.361,12,29,.414,.485,4,5,.800,11,22,33,15,7,1,10,21,26,56,.464,6,23,.261,20,33,.606,.518,12,23,.522,12,28,40,13,5,4,15,12
Jacksonville,28,2017-02-11,,NJIT,REG (Conf),W,76,73,,23,47,.489,14,27,.519,9,20,.450,.638,16,18,.889,2,15,17,14,6,1,11,13,29,50,.580,9,20,.450,20,30,.667,.670,6,9,.667,4,21,25,13,7,4,15,20
Jacksonville,29,2017-02-16,@,Kennesaw State,REG (Conf),W,79,78,,26,50,.520,8,23,.348,18,27,.667,.600,19,25,.760,6,22,28,13,15,0,14,21,28,55,.509,8,18,.444,20,37,.541,.582,14,24,.583,9,19,28,13,7,3,20,21
Jacksonville,30,2017-02-18,@,Lipscomb,REG (Conf),L,69,81,,22,51,.431,9,23,.391,13,28,.464,.520,16,20,.800,7,20,27,8,5,0,17,17,28,53,.528,15,34,.441,13,19,.684,.670,10,15,.667,4,23,27,25,7,3,12,20
Jacksonville,31,2017-02-23,@,North Florida,REG (Conf),L,69,73,,27,63,.429,8,27,.296,19,36,.528,.492,7,17,.412,11,25,36,12,6,1,9,15,28,60,.467,12,32,.375,16,28,.571,.567,5,11,.455,9,31,40,14,4,10,12,17
Jacksonville,32,2017-02-27,@,North Florida,CTOURN,L,74,77,,25,54,.463,10,23,.435,15,31,.484,.556,14,20,.700,6,19,25,9,8,3,9,20,29,56,.518,9,22,.409,20,34,.588,.598,10,21,.476,9,27,36,13,3,1,11,18
Jacksonville,33,2017-03-14,,Saint Francis (PA),CIT,L,76,78,,28,66,.424,8,28,.286,20,38,.526,.485,12,12,1.000,6,28,34,15,6,7,11,15,31,62,.500,11,24,.458,20,38,.526,.589,5,8,.625,6,27,33,20,4,3,14,12
Jacksonville State,1,2016-11-11,@,Tulsa,REG (Non-Conf),W,84,73,,30,54,.556,9,23,.391,21,31,.677,.639,15,20,.750,8,20,28,12,5,3,16,24,23,58,.397,10,28,.357,13,30,.433,.483,17,29,.586,15,16,31,11,2,1,15,21
Jacksonville State,2,2016-11-13,@,Missouri State,REG (Non-Conf),L,65,91,,22,40,.550,5,13,.385,17,27,.630,.613,16,23,.696,3,21,24,15,3,3,24,20,30,64,.469,15,31,.484,15,33,.455,.586,16,17,.941,10,18,28,16,13,1,10,23
Jacksonville State,3,2016-11-16,@,Western Kentucky,REG (Non-Conf),L,67,74,,27,65,.415,8,22,.364,19,43,.442,.477,5,6,.833,7,21,28,11,6,2,7,17,26,54,.481,9,18,.500,17,36,.472,.565,13,16,.813,8,26,34,12,4,3,11,10
Jacksonville State,4,2016-11-18,@,TCU,REG (Non-Conf),L,60,79,,21,48,.438,9,21,.429,12,27,.444,.531,9,14,.643,6,18,24,15,3,1,14,19,28,56,.500,11,21,.524,17,35,.486,.598,12,19,.632,11,21,32,16,8,4,8,15
Jacksonville State,5,2016-11-22,,Dalton State,REG (Non-Conf),W,81,50,,25,50,.500,10,16,.625,15,34,.441,.600,21,28,.750,8,34,42,16,7,3,18,16,16,59,.271,5,17,.294,11,42,.262,.314,13,19,.684,10,17,27,8,13,6,12,20
Jacksonville State,6,2016-11-25,N,Cal State Fullerton,REG (Non-Conf),W,61,38,,20,50,.400,8,24,.333,12,26,.462,.480,13,18,.722,10,26,36,10,7,4,12,20,10,39,.256,4,15,.267,6,24,.250,.308,14,20,.700,4,19,23,3,4,0,14,21
Jacksonville State,7,2016-11-26,N,Northern Arizona,REG (Non-Conf),W,76,63,,29,63,.460,6,16,.375,23,47,.489,.508,12,15,.800,13,31,44,19,4,3,12,7,23,66,.348,11,32,.344,12,34,.353,.432,6,7,.857,9,18,27,19,7,2,8,13
Jacksonville State,8,2016-11-29,@,Alabama State,REG (Non-Conf),W,72,69,,26,58,.448,10,22,.455,16,36,.444,.534,10,19,.526,11,21,32,13,4,3,15,20,28,68,.412,5,15,.333,23,53,.434,.449,8,12,.667,15,24,39,6,3,5,12,18
Jacksonville State,9,2016-12-04,@,Samford,REG (Non-Conf),L,77,81,,29,47,.617,11,20,.550,18,27,.667,.734,8,15,.533,7,23,30,21,2,1,18,19,28,52,.538,6,14,.429,22,38,.579,.596,19,23,.826,3,17,20,20,7,0,6,17
Jacksonville State,10,2016-12-10,@,Louisiana–Monroe,REG (Non-Conf),L,83,88,OT,29,62,.468,11,26,.423,18,36,.500,.556,14,20,.700,7,26,33,13,6,3,9,28,26,53,.491,9,17,.529,17,36,.472,.575,27,38,.711,9,26,35,15,4,0,10,14
Jacksonville State,11,2016-12-12,@,Maryland,REG (Non-Conf),L,66,92,,24,54,.444,6,17,.353,18,37,.486,.500,12,18,.667,9,18,27,7,5,3,15,22,27,47,.574,11,17,.647,16,30,.533,.691,27,35,.771,6,22,28,16,7,3,12,20
Jacksonville State,12,2016-12-14,@,Howard,REG (Non-Conf),W,72,59,,27,54,.500,13,22,.591,14,32,.438,.620,5,7,.714,8,24,32,17,4,4,10,19,21,50,.420,5,16,.313,16,34,.471,.470,12,19,.632,7,18,25,4,4,3,9,10
Jacksonville State,13,2016-12-18,@,USC Upstate,REG (Non-Conf),W,67,66,,28,62,.452,6,22,.273,22,40,.550,.500,5,9,.556,11,19,30,16,5,0,8,19,23,50,.460,9,19,.474,14,31,.452,.550,11,17,.647,10,20,30,18,5,5,13,13
Jacksonville State,14,2016-12-21,@,Chattanooga,REG (Non-Conf),L,57,73,,23,51,.451,4,11,.364,19,40,.475,.490,7,11,.636,6,22,28,10,9,5,17,14,28,58,.483,9,19,.474,19,39,.487,.560,8,10,.800,8,23,31,12,9,8,14,14
Jacksonville State,15,2016-12-29,@,UT Martin,REG (Conf),W,90,72,,35,65,.538,10,22,.455,25,43,.581,.615,10,13,.769,13,23,36,19,4,3,8,14,26,60,.433,10,26,.385,16,34,.471,.517,10,14,.714,4,19,23,15,3,3,9,14
Jacksonville State,16,2016-12-31,@,Eastern Illinois,REG (Conf),W,57,56,,23,56,.411,2,18,.111,21,38,.553,.429,9,17,.529,12,30,42,11,6,4,15,19,22,62,.355,6,18,.333,16,44,.364,.403,6,10,.600,10,24,34,9,7,3,11,18
Jacksonville State,17,2017-01-05,,Murray State,REG (Conf),L,63,76,,20,46,.435,5,16,.313,15,30,.500,.489,18,29,.621,5,21,26,11,3,8,9,20,23,55,.418,13,18,.722,10,37,.270,.536,17,22,.773,12,21,33,10,4,2,8,21
Jacksonville State,18,2017-01-07,,Austin Peay,REG (Conf),W,71,68,,23,52,.442,5,17,.294,18,35,.514,.490,20,22,.909,9,22,31,11,7,1,12,17,25,50,.500,8,19,.421,17,31,.548,.580,10,18,.556,4,18,22,8,3,4,13,24
Jacksonville State,19,2017-01-10,,Fort Valley St.,REG (Non-Conf),W,81,69,,27,61,.443,8,23,.348,19,38,.500,.508,19,32,.594,18,28,46,21,4,6,11,16,25,68,.368,7,22,.318,18,46,.391,.419,12,16,.750,13,21,34,10,5,1,12,25
Jacksonville State,20,2017-01-14,@,Tennessee Tech,REG (Conf),W,74,59,,28,63,.444,3,11,.273,25,52,.481,.468,15,20,.750,17,29,46,13,8,1,14,15,18,51,.353,7,25,.280,11,26,.423,.422,16,24,.667,7,17,24,12,7,4,13,19
Jacksonville State,21,2017-01-19,@,Belmont,REG (Conf),L,60,77,,22,60,.367,3,16,.188,19,44,.432,.392,13,22,.591,9,24,33,11,1,4,9,16,26,59,.441,12,34,.353,14,25,.560,.542,13,16,.813,7,33,40,14,3,7,7,18
Jacksonville State,22,2017-01-21,@,Tennessee State,REG (Conf),W,86,79,,24,39,.615,11,15,.733,13,24,.542,.756,27,33,.818,6,18,24,16,4,7,15,22,27,61,.443,7,17,.412,20,44,.455,.500,18,23,.783,12,10,22,17,5,0,12,26
Jacksonville State,23,2017-01-26,,Eastern Kentucky,REG (Conf),L,52,57,,18,60,.300,4,19,.211,14,41,.341,.333,12,16,.750,15,19,34,13,5,3,18,21,19,48,.396,2,15,.133,17,33,.515,.417,17,25,.680,8,28,36,9,2,13,21,17
Jacksonville State,24,2017-01-28,,Morehead State,REG (Conf),L,69,72,,24,53,.453,7,19,.368,17,34,.500,.519,14,20,.700,8,19,27,16,4,8,13,21,24,52,.462,5,12,.417,19,40,.475,.510,19,22,.864,11,20,31,11,11,1,14,19
Jacksonville State,25,2017-02-01,,Southeast Missouri State,REG (Conf),W,74,62,,25,50,.500,7,21,.333,18,29,.621,.570,17,22,.773,11,28,39,18,3,9,16,16,22,57,.386,11,24,.458,11,33,.333,.482,7,11,.636,8,14,22,12,7,0,10,21
Jacksonville State,26,2017-02-04,@,SIU Edwardsville,REG (Conf),W,72,61,,22,54,.407,4,16,.250,18,38,.474,.444,24,33,.727,11,30,41,13,7,5,13,22,21,57,.368,4,13,.308,17,44,.386,.404,15,22,.682,8,24,32,8,4,2,14,27
Jacksonville State,27,2017-02-09,,Belmont,REG (Conf),L,53,66,,23,52,.442,7,20,.350,16,32,.500,.510,0,1,.000,4,23,27,16,4,4,13,17,23,53,.434,10,29,.345,13,24,.542,.528,10,13,.769,6,21,27,11,6,0,8,12
Jacksonville State,28,2017-02-11,,Tennessee State,REG (Conf),W,63,57,,15,38,.395,8,27,.296,7,11,.636,.500,25,33,.758,5,33,38,12,2,3,14,20,18,54,.333,4,20,.200,14,34,.412,.370,17,27,.630,6,18,24,5,8,0,4,25
